movieId,userId,rating,timestamp,label,releaseYear,movieGenre1,movieGenre2,movieGenre3,movieRatingCount,movieAvgRating,movieRatingStddev,userRatedMovie1,userRatedMovie2,userRatedMovie3,userRatedMovie4,userRatedMovie5,userRatingCount,userAvgReleaseYear,userReleaseYearStddev,userAvgRating,userRatingStddev,userGenre1,userGenre2,userGenre3,userGenre4,userGenre5
110,28039,0.5,1274713765,0,1995,Action,Drama,War,11637,4.04,0.97,454,594,539,597,500,40,1987,16.95,2.89,1.46,Comedy,Romance,Drama,Children,Animation
111,451,3.5,1223375110,1,1976,Crime,Drama,Thriller,5305,4.12,0.85,714,593,541,215,"",6,1992,5.27,3.33,0.75,Drama,Thriller,Romance,Action,Sci-Fi
141,17910,3.5,1204309044,1,1996,Comedy,"","",4859,3.52,0.96,21,39,253,208,434,57,1993,2.82,4.20,0.53,Action,Thriller,Adventure,Comedy,Drama
141,2756,2.0,1025405902,0,1996,Comedy,"","",4859,3.52,0.96,562,337,34,194,153,68,1984,18.26,3.65,1.08,Drama,Comedy,Romance,Thriller,Crime
151,10338,4.0,925134078,1,1995,Action,Drama,Romance,2767,3.57,0.92,920,161,912,527,599,100,1990,13.20,3.24,1.39,Action,Drama,Thriller,Comedy,Adventure
153,8386,3.0,848132650,0,1995,Action,Adventure,Comedy,7100,2.89,0.95,778,296,592,590,"",9,1994,2.69,3.56,0.73,Drama,Crime,Thriller,Comedy,Adventure
159,9308,3.0,833079170,0,1995,Crime,Drama,Mystery,495,3.43,0.86,36,555,364,293,95,49,1994,1.31,3.22,1.10,Thriller,Crime,Drama,Action,Adventure
16,3858,4.5,1266798330,1,1995,Crime,Drama,"",3846,3.81,0.85,778,300,223,17,288,61,1986,15.51,2.93,1.40,Drama,Thriller,Comedy,Crime,Mystery
160,8386,3.0,848133100,0,1995,Action,Adventure,Mystery,3235,2.60,1.01,440,21,539,597,587,48,1993,1.72,3.56,0.94,Drama,Comedy,Thriller,Romance,Crime
165,21515,5.0,845468453,1,1995,Action,Crime,Thriller,7392,3.50,0.89,380,"","","","",5,1992,2.70,2.80,1.48,Action,Adventure,Comedy,Romance,Thriller
165,27125,4.0,848340479,1,1995,Action,Crime,Thriller,7392,3.50,0.89,588,153,380,592,296,6,1993,2.32,4.33,0.82,Comedy,Crime,Thriller,Action,Adventure
168,22314,3.0,857458270,0,1995,Action,Drama,Romance,2557,3.06,1.12,592,480,349,457,589,27,1994,3.84,3.48,0.75,Action,Thriller,Crime,Drama,Adventure
173,7743,3.0,1136676439,0,1995,Action,Crime,Sci-Fi,3208,2.56,1.02,531,293,902,170,924,41,1988,14.06,2.52,1.21,Drama,Thriller,Crime,Action,Sci-Fi
176,28449,4.0,965348351,1,1995,Comedy,"","",505,3.89,0.85,608,296,50,246,527,7,1986,19.75,4.43,0.79,Drama,Crime,Thriller,Comedy,Romance
176,9407,4.0,945239652,1,1995,Comedy,"","",505,3.89,0.85,916,905,32,260,541,17,1976,21.38,3.94,0.75,Sci-Fi,Action,Drama,Adventure,Thriller
181,18386,1.0,864738212,0,1995,Action,Children,"",576,1.93,1.18,277,34,150,919,318,35,1984,18.03,3.31,1.16,Drama,Adventure,Romance,Fantasy,Comedy
207,26687,0.5,1173173159,0,1995,Drama,Romance,"",1210,3.42,1.06,"","","","","",9,1994,1.20,1.17,0.61,"","","","",""
208,10338,3.0,925131556,0,1995,Action,Adventure,Sci-Fi,5958,2.85,1.03,89,442,552,165,494,51,1990,12.82,4.00,1.04,Action,Thriller,Adventure,Drama,Sci-Fi
22,9032,2.0,934435630,0,1995,Crime,Drama,Horror,2208,3.30,0.92,164,18,272,21,551,93,1990,10.96,3.67,0.85,Comedy,Drama,Crime,Thriller,Action
223,853,3.0,856442695,0,1994,Comedy,"","",5102,3.86,0.97,224,357,34,617,781,18,1994,4.35,3.89,0.83,Drama,Comedy,Romance,Children,Animation
225,28524,4.0,842353188,1,1994,Drama,Thriller,"",2693,3.29,0.87,589,377,339,480,356,15,1993,1.81,3.80,0.94,Thriller,Adventure,Drama,Romance,Action
231,21515,4.0,845468505,1,1994,Adventure,Comedy,"",7051,2.93,1.21,595,349,165,380,"",12,1993,2.07,3.25,1.29,Action,Thriller,Romance,Crime,Adventure
231,27429,4.0,1208605475,1,1994,Adventure,Comedy,"",7051,2.93,1.21,50,296,165,110,457,8,1994,0.74,4.06,0.98,Crime,Thriller,Action,Drama,Fantasy
231,2756,3.5,1167159339,1,1994,Adventure,Comedy,"",7051,2.93,1.21,454,380,902,318,551,94,1986,16.77,3.56,1.14,Comedy,Drama,Romance,Thriller,Crime
231,3858,2.0,1266797647,0,1994,Adventure,Comedy,"",7051,2.93,1.21,47,527,1,260,356,44,1984,17.58,2.98,1.49,Drama,Thriller,Comedy,Mystery,Crime
232,853,4.0,856443954,1,1994,Comedy,Drama,Romance,1373,4.03,0.85,898,919,615,910,969,90,1986,15.91,3.64,0.99,Comedy,Drama,Romance,Thriller,Mystery
234,27563,1.0,901225311,0,1994,Comedy,"","",688,2.70,1.08,371,141,339,500,708,59,1991,9.75,3.61,1.03,Drama,Comedy,Thriller,Romance,Adventure
246,9407,5.0,945240238,1,1994,Documentary,"","",2288,4.06,0.95,838,247,58,446,930,30,1977,22.15,3.77,0.77,Romance,Drama,Comedy,Adventure,Action
25,3441,4.0,939901852,1,1995,Drama,Romance,"",4684,3.69,1.04,745,588,457,800,32,10,1993,1.65,4.50,0.53,Thriller,Drama,Crime,Adventure,Mystery
28,3517,3.0,851964370,0,1995,Drama,Romance,"",670,4.07,0.87,260,207,39,316,185,38,1994,3.11,3.76,0.85,Romance,Drama,Comedy,Action,Adventure
282,21453,4.0,837507613,1,1994,Drama,"","",2426,3.39,1.00,377,589,420,356,454,33,1993,1.50,3.67,0.85,Thriller,Drama,Action,Crime,Adventure
289,3517,4.0,851964099,1,1994,Comedy,Romance,"",707,3.37,0.88,261,339,539,457,497,22,1995,1.08,3.68,0.84,Romance,Drama,Action,Thriller,Comedy
292,6366,4.0,989895428,1,1995,Action,Drama,Sci-Fi,5649,3.40,0.86,165,780,423,507,733,100,1990,11.44,3.62,1.08,Thriller,Drama,Comedy,Action,Romance
292,9569,3.0,845358264,0,1995,Action,Drama,Sci-Fi,5649,3.40,0.86,110,231,344,165,588,16,1993,1.85,3.62,0.72,Comedy,Adventure,Drama,Crime,Action
296,27130,4.0,1365007545,1,1994,Comedy,Crime,Drama,14616,4.17,0.98,497,750,"","","",5,1987,13.33,3.00,1.27,Comedy,War,Romance,"",""
296,27247,4.5,1236834145,1,1994,Comedy,Crime,Drama,14616,4.17,0.98,163,"","","","",7,1994,1.21,1.71,1.25,Action,Romance,Western,"",""
314,3858,1.0,1318815217,0,1994,Children,Drama,Fantasy,946,3.85,0.92,318,52,605,804,594,100,1992,8.41,2.29,1.25,Drama,Thriller,Comedy,Crime,Horror
32,17866,4.0,832020526,1,1995,Mystery,Sci-Fi,Thriller,9694,3.89,0.86,47,288,300,1,318,18,1993,1.42,3.17,1.47,Comedy,Crime,Drama,Thriller,Adventure
339,2756,2.0,1025396289,0,1995,Comedy,Romance,"",5030,3.52,0.92,440,111,"","","",3,1987,9.81,3.67,1.53,Crime,Drama,Thriller,Comedy,Romance
34,6366,4.0,989897146,1,1995,Children,Drama,"",7042,3.63,1.11,919,836,547,786,494,100,1992,8.53,3.22,1.14,Thriller,Action,Comedy,Drama,Adventure
355,18386,3.0,862328657,0,1994,Children,Comedy,Fantasy,2137,2.43,0.97,953,986,440,110,317,13,1989,13.38,3.92,1.12,Drama,Fantasy,Comedy,Romance,Adventure
355,27563,3.0,901225676,0,1994,Children,Comedy,Fantasy,2137,2.43,0.97,371,141,339,500,708,62,1992,9.53,3.50,1.13,Drama,Comedy,Thriller,Romance,Adventure
364,27752,3.0,1290346067,0,1994,Adventure,Animation,Children,8464,3.78,0.93,231,590,165,608,457,37,1992,7.18,3.57,0.97,Drama,Thriller,Comedy,Crime,Adventure
367,7655,3.0,1215147463,0,1994,Action,Comedy,Crime,7577,3.16,1.00,356,434,231,500,47,37,1985,17.51,4.01,0.45,Drama,Adventure,Comedy,Thriller,Children
379,2393,2.5,1216136081,0,1994,Action,Sci-Fi,Thriller,1165,2.74,1.00,898,"","","","",2,1968,39.60,2.75,3.18,Comedy,Drama,Romance,"",""
380,2393,5.0,1216137628,1,1994,Action,Adventure,Comedy,9364,3.48,0.93,480,780,368,110,593,15,1989,14.88,4.40,1.27,Thriller,Drama,Crime,Comedy,Adventure
380,3826,4.0,1089016922,1,1994,Action,Adventure,Comedy,9364,3.48,0.93,318,260,150,480,356,11,1992,5.26,4.18,0.75,Thriller,Drama,Action,Sci-Fi,Crime
